iter	Logloss
0	0.5136799268
1	0.4043480092
2	0.3537984516
3	0.3219808063
4	0.3028789502
5	0.2878197174
6	0.2784569819
7	0.268500614
8	0.2550430539
9	0.2496963634
10	0.2451365244
11	0.2420252507
12	0.2374727846
13	0.2339466886
14	0.2318159804
15	0.2269757166
16	0.2250209586
17	0.2236543549
18	0.2207039534
19	0.2187138106
20	0.2175917295
21	0.2151611701
22	0.2138836503
23	0.2132271219
24	0.21143965
25	0.2092864123
26	0.2077170884
27	0.2070196736
28	0.2064006353
29	0.2049347173
30	0.2035631242
31	0.2025561255
32	0.2022588907
33	0.2014779634
34	0.2001674901
35	0.1991757475
36	0.1986962176
37	0.1981823546
38	0.1965462449
39	0.1956902427
40	0.1953175772
41	0.1948896095
42	0.1944013984
43	0.1938266759
44	0.1933892985
45	0.1928775819
46	0.1924361272
47	0.1919112769
48	0.1915446974
49	0.1912495837
50	0.1909046237
51	0.1906268829
52	0.1903679656
53	0.1900050864
54	0.189832373
55	0.1894896345
56	0.1886760097
57	0.1884441333
58	0.1879159311
59	0.1875766466
60	0.187334025
61	0.1868627296
62	0.1865818476
63	0.1864399659
64	0.1859658293
65	0.1853793419
66	0.1852073843
67	0.1850072694
68	0.1845708788
69	0.1843700152
70	0.1842253538
71	0.1841352757
72	0.1837738117
73	0.1835882411
74	0.1833480508
75	0.1832374888
76	0.1829478807
77	0.1826918501
78	0.1823910447
79	0.1821612009
80	0.1820033844
81	0.1818283393
82	0.1816741534
83	0.1815149181
84	0.1812488298
85	0.1809935016
86	0.180813618
87	0.1806833305
88	0.1805840931
89	0.1803740366
90	0.1802063565
91	0.1800717268
92	0.1797894939
93	0.1796405984
94	0.1794808464
95	0.1793724923
96	0.1792433753
97	0.1791390433
98	0.1790193925
99	0.1789931469
100	0.1788554561
101	0.1787757083
102	0.1786665008
103	0.1785792672
104	0.1785009336
105	0.1784140711
106	0.1782978108
107	0.1781589372
108	0.178030731
109	0.1778388801
110	0.1777295157
111	0.1775672204
112	0.177457906
113	0.1773613799
114	0.177271327
115	0.1771534801
116	0.1770726991
117	0.1770625843
118	0.1769518771
119	0.1768932746
120	0.1768833707
121	0.1768319333
122	0.1767576617
123	0.1764940609
124	0.1764125949
125	0.1763275847
126	0.1762557838
127	0.1761625721
128	0.1760602731
129	0.1759991713
130	0.1758820425
131	0.1757894751
132	0.1757223688
133	0.1756501506
134	0.1756055633
135	0.1755984757
136	0.1755383266
