iter	Passed	Remaining
0	45	45540
1	90	45123
2	132	44064
3	174	43349
4	222	44313
5	269	44572
6	312	44400
7	358	44479
8	400	44115
9	443	43892
10	484	43551
11	533	43910
12	574	43619
13	617	43509
14	659	43304
15	705	43381
16	750	43411
17	789	43058
18	834	43077
19	873	42791
20	913	42571
21	956	42501
22	995	42283
23	1038	42213
24	1076	41978
25	1118	41904
26	1162	41879
27	1208	41955
28	1258	42134
29	1315	42535
30	1362	42576
31	1403	42469
32	1444	42341
33	1484	42184
34	1524	42037
35	1570	42053
36	1618	42134
37	1663	42121
38	1710	42160
39	1751	42040
40	1799	42085
41	1840	41980
42	1878	41811
43	1920	41728
44	1962	41650
45	2004	41577
46	2051	41602
47	2091	41483
48	2138	41501
49	2185	41524
50	2234	41586
51	2277	41517
52	2323	41509
53	2367	41479
54	2410	41422
55	2457	41431
56	2504	41434
57	2546	41358
58	2593	41370
59	2638	41335
60	2685	41336
61	2723	41210
62	2771	41218
63	2815	41177
64	2859	41127
65	2900	41051
66	2944	41001
67	2984	40906
68	3026	40836
69	3070	40791
70	3109	40684
71	3149	40589
72	3193	40554
73	3232	40450
74	3275	40393
75	3316	40319
76	3360	40286
77	3402	40224
78	3443	40143
79	3483	40057
80	3524	39989
81	3566	39932
82	3609	39881
83	3654	39847
84	3697	39805
85	3746	39817
86	3794	39818
87	3840	39798
88	3887	39787
89	3929	39728
90	3977	39728
91	4022	39697
92	4062	39620
93	4107	39589
94	4149	39525
95	4191	39467
96	4237	39447
97	4283	39426
98	4325	39369
99	4369	39323
100	4413	39288
101	4452	39202
102	4497	39171
103	4540	39115
104	4582	39062
105	4623	38997
106	4667	38956
107	4753	39260
108	4845	39606
109	4905	39690
110	4951	39653
111	4991	39572
112	5035	39525
113	5078	39466
114	5126	39448
115	5166	39375
116	5212	39335
117	5254	39272
118	5301	39249
119	5349	39227
120	5390	39155
121	5431	39087
122	5470	39004
123	5509	38918
124	5548	38840
125	5594	38805
126	5636	38746
127	5678	38683
128	5717	38602
129	5760	38550
130	5797	38460
131	5837	38385
132	5880	38336
133	5923	38280
134	5969	38246
135	6013	38202
136	6059	38171
137	6100	38108
138	6136	38012
139	6184	37988
140	6223	37916
141	6269	37883
142	6311	37825
143	6355	37782
144	6399	37732
145	6447	37711
146	6488	37652
147	6533	37609
148	6573	37546
149	6612	37471
150	6651	37399
151	6747	37641
152	6815	37731
153	6870	37742
154	6911	37680
155	6957	37639
156	6999	37583
157	7042	37529
158	7085	37479
159	7125	37408
160	7165	37338
161	7202	37258
162	7243	37193
163	7290	37164
164	7327	37084
165	7370	37030
