iter	Passed	Remaining
0	69	68968
1	140	70255
2	225	75067
3	293	73187
4	371	73879
5	449	74520
6	519	73687
7	582	72178
8	650	71651
9	720	71284
10	779	70094
11	851	70079
12	926	70363
13	1052	74101
14	1130	74249
15	1213	74611
16	1281	74083
17	1353	73840
18	1430	73845
19	1494	73210
20	1637	76321
21	1701	75652
22	1761	74844
23	1833	74561
24	1906	74337
25	1971	73863
26	2039	73515
27	2108	73201
28	2186	73225
29	2265	73259
30	2337	73069
31	2402	72678
32	2466	72289
33	2528	71825
34	2603	71776
35	2670	71503
36	2739	71288
37	2803	70962
38	2874	70832
39	2946	70709
40	3011	70450
41	3086	70399
42	3159	70324
43	3223	70042
44	3298	69992
45	3367	69847
46	3436	69680
47	3499	69408
48	3575	69394
49	3642	69207
50	3710	69035
51	3784	68988
52	3852	68828
53	3920	68678
54	3998	68699
55	4070	68614
56	4145	68589
57	4219	68526
58	4284	68328
59	4355	68234
60	4422	68079
61	4486	67869
62	4553	67721
63	4638	67840
64	4712	67792
65	4776	67599
66	4846	67491
67	4909	67284
68	4981	67217
69	5050	67098
70	5118	66975
71	5188	66877
72	5262	66824
73	5327	66662
74	5399	66593
75	5465	66451
76	5550	66536
77	5630	66549
78	5707	66534
79	5773	66394
80	5844	66307
81	5914	66208
82	5988	66159
83	6049	65971
84	6124	65923
85	6197	65866
86	6257	65670
87	6325	65558
88	6392	65430
89	6463	65355
90	6539	65321
91	6608	65220
92	6684	65190
93	6758	65142
94	6835	65121
95	6907	65045
96	6980	64979
97	7044	64835
98	7116	64769
99	7193	64740
100	7270	64713
101	7333	64565
102	7407	64505
103	7472	64375
104	7538	64254
105	7604	64137
106	7688	64166
107	7749	64002
108	7822	63946
109	7886	63810
110	7964	63791
111	8030	63667
112	8093	63527
113	8165	63464
114	8244	63443
115	8312	63347
116	8383	63268
117	8453	63187
118	8527	63135
119	8591	63001
120	8661	62920
121	8724	62790
122	8798	62736
123	8868	62654
124	8940	62581
125	9011	62509
126	9084	62448
127	9155	62370
128	9224	62280
129	9345	62543
130	9425	62525
131	9495	62441
132	9561	62330
133	9632	62253
134	9699	62151
135	9766	62045
136	9836	61962
137	9907	61886
138	9982	61836
139	10049	61733
140	10114	61620
141	10186	61547
142	10269	61545
143	10345	61498
144	10431	61512
145	10511	61483
146	10580	61396
147	10642	61266
148	10708	61161
149	10783	61108
150	10846	60984
151	10921	60928
152	10991	60850
153	11060	60758
154	11132	60689
155	11205	60622
156	11274	60539
157	11354	60510
158	11432	60472
159	11504	60396
160	11564	60265
161	11628	60150
162	11698	60069
163	11772	60009
164	11841	59926
165	11908	59828
166	11980	59758
167	12055	59705
168	12131	59652
169	12202	59575
170	12285	59558
171	12360	59501
172	12443	59484
173	12515	59414
174	12582	59318
175	12647	59214
176	12716	59128
177	12789	59059
178	12862	58996
179	12933	58919
180	13013	58886
181	13087	58822
182	13162	58763
183	13233	58685
184	13304	58613
185	13369	58508
186	13435	58412
187	13502	58318
188	13578	58267
189	13648	58187
190	13719	58111
191	13784	58010
192	13849	57910
193	13921	57839
194	13992	57765
195	14069	57714
196	14145	57660
197	14231	57645
198	14304	57577
199	14372	57488
200	14443	57415
201	14521	57366
202	14593	57296
203	14661	57209
204	14733	57135
205	14804	57062
206	14875	56988
207	14948	56920
208	15024	56861
209	15099	56803
210	15170	56725
211	15243	56659
212	15314	56584
213	15386	56511
214	15444	56391
215	15519	56328
216	15589	56252
217	15658	56169
218	15727	56088
219	15799	56017
220	15871	55945
221	15951	55902
222	16016	55804
223	16080	55708
224	16157	55653
225	16232	55593
226	16305	55525
227	16374	55443
228	16449	55383
229	16522	55314
230	16592	55234
231	16721	55353
232	16796	55290
233	16867	55215
234	16929	55110
235	16993	55014
236	17067	54948
237	17135	54862
238	17210	54799
239	17277	54710
240	17355	54658
241	17427	54586
242	17500	54518
243	17570	54439
244	17639	54358
245	17708	54276
246	17774	54187
247	17845	54113
248	17911	54021
249	17984	53954
250	18060	53893
251	18124	53797
252	18200	53737
253	18262	53636
254	18349	53608
255	18418	53529
256	18495	53471
257	18567	53400
258	18634	53314
259	18705	53239
260	18777	53167
261	18848	53093
262	18905	52977
263	18972	52891
264	19044	52821
265	19110	52732
266	19181	52660
267	19257	52598
268	19329	52528
269	19403	52461
270	19486	52418
271	19570	52378
272	19646	52318
273	19729	52276
274	19801	52204
275	19876	52140
276	19948	52068
277	20026	52011
278	20093	51925
279	20165	51855
280	20242	51795
281	20311	51714
282	20385	51648
283	20459	51580
284	20532	51511
285	20599	51427
286	20690	51402
287	20761	51328
288	20838	51268
289	20915	51207
290	20985	51129
291	21064	51074
292	21131	50990
293	21202	50914
294	21261	50811
295	21337	50747
296	21414	50688
297	21474	50587
298	21548	50519
299	21619	50445
300	21689	50367
301	21761	50296
302	21830	50216
303	21896	50132
304	21967	50058
305	22039	49984
306	22107	49903
307	22179	49832
308	22255	49769
309	22326	49695
310	22395	49615
311	22458	49523
312	22537	49466
313	22596	49366
314	22667	49291
315	22732	49205
316	22802	49129
317	22876	49061
318	22948	48990
319	23020	48918
320	23096	48855
321	23170	48787
322	23242	48715
323	23315	48646
324	23385	48569
325	23459	48501
326	23533	48435
327	23597	48345
328	23672	48280
329	23761	48242
330	23839	48183
331	23918	48126
332	24002	48076
333	24068	47992
334	24141	47922
335	24273	47969
336	24350	47905
337	24424	47838
338	24493	47759
339	24563	47682
340	24637	47612
341	24706	47534
342	24770	47446
343	24846	47381
344	24916	47305
345	24994	47243
346	25055	47149
347	25128	47079
348	25196	46998
349	25270	46931
350	25338	46850
351	25401	46762
352	25474	46691
353	25544	46614
354	25615	46540
355	25686	46467
356	25760	46398
357	25833	46326
358	25902	46249
359	25976	46179
360	26049	46109
361	26121	46036
362	26190	45959
363	26266	45893
364	26340	45824
365	26405	45740
366	26466	45648
367	26540	45579
368	26615	45513
369	26687	45440
370	26755	45361
371	26824	45284
372	26894	45209
373	26966	45136
374	27040	45066
375	27107	44987
376	27184	44923
377	27252	44844
378	27327	44776
379	27398	44703
380	27459	44612
381	27519	44521
382	27590	44447
383	27668	44385
384	27741	44313
385	27813	44242
386	27886	44172
387	27963	44106
388	28033	44032
389	28101	43953
390	28170	43876
391	28242	43804
392	28308	43723
393	28375	43643
394	28447	43571
395	28504	43476
396	28578	43407
397	28650	43335
398	28721	43261
399	28794	43191
400	28867	43121
401	28937	43046
402	29005	42968
403	29078	42898
404	29155	42833
405	29228	42762
406	29297	42686
407	29368	42612
408	29453	42560
409	29524	42486
410	29596	42414
411	29668	42343
412	29744	42276
413	29808	42193
414	29882	42123
415	29958	42056
416	30031	41987
417	30097	41906
418	30175	41842
419	30234	41752
420	30309	41685
421	30392	41627
422	30462	41553
423	30524	41467
424	30596	41394
425	30666	41320
426	30740	41250
427	30811	41177
428	30882	41105
429	30960	41040
430	31031	40966
431	31097	40886
432	31169	40815
433	31242	40745
434	31310	40668
435	31381	40594
436	31457	40527
437	31525	40450
438	31592	40372
439	31664	40299
440	31764	40264
441	31869	40233
442	31946	40167
443	32023	40102
444	32097	40031
445	32167	39956
446	32241	39887
447	32315	39816
448	32378	39734
449	32446	39656
450	32519	39585
451	32591	39514
452	32664	39443
453	32736	39370
454	32810	39300
455	32882	39227
456	32952	39153
457	33026	39084
458	33096	39009
459	33170	38939
460	33242	38866
461	33309	38788
462	33379	38714
463	33452	38642
464	33518	38564
465	33597	38499
466	33681	38441
467	33755	38371
468	33829	38301
469	33907	38236
470	33983	38168
471	34061	38103
472	34127	38023
473	34205	37958
474	34286	37895
475	34362	37828
476	34432	37753
477	34512	37689
478	34581	37613
479	34654	37541
480	34723	37466
481	34803	37402
482	34873	37327
483	34942	37252
484	35019	37185
485	35099	37121
486	35178	37056
487	35254	36987
488	35322	36911
489	35399	36844
490	35471	36771
491	35538	36694
492	35608	36619
493	35690	36557
494	35755	36477
495	35823	36401
496	35891	36324
497	35951	36240
498	36032	36177
499	36113	36113
500	36189	36044
501	36266	35977
502	36346	35913
503	36423	35845
504	36503	35780
505	36580	35712
506	36659	35646
507	36742	35585
508	36815	35513
509	36885	35439
510	36961	35370
511	37034	35298
512	37110	35230
513	37194	35168
514	37267	35096
515	37341	35025
516	37411	34951
517	37484	34878
518	37553	34803
519	37635	34740
520	37726	34685
521	37797	34611
522	37874	34543
523	37942	34466
524	38019	34398
525	38092	34326
526	38171	34259
527	38246	34190
528	38334	34131
529	38454	34100
530	38530	34031
531	38604	33960
532	38676	33887
533	38742	33809
534	38813	33734
535	38886	33662
536	38956	33588
537	39037	33522
538	39108	33448
539	39179	33374
540	39247	33298
541	39323	33229
542	39395	33155
543	39467	33083
544	39541	33011
545	39618	32942
546	39686	32866
547	39759	32793
548	39823	32714
549	39891	32638
550	39964	32566
551	40029	32487
552	40101	32414
553	40174	32342
554	40244	32267
555	40315	32194
556	40387	32121
557	40460	32049
558	40528	31973
559	40602	31901
560	40674	31829
561	40752	31760
562	40826	31689
563	40900	31618
564	40976	31548
565	41053	31479
566	41122	31404
567	41189	31326
568	41260	31253
569	41332	31180
570	41401	31105
571	41468	31028
572	41538	30954
573	41611	30882
574	41683	30809
575	41755	30736
576	41831	30667
577	41907	30597
578	41984	30527
579	42060	30457
580	42135	30387
581	42212	30317
582	42284	30244
583	42351	30168
584	42428	30098
585	42500	30026
586	42564	29947
587	42631	29871
588	42703	29798
589	42775	29725
590	42843	29649
591	42912	29574
592	42992	29507
593	43060	29431
594	43132	29358
595	43201	29284
596	43268	29207
597	43340	29134
598	43418	29066
599	43485	28990
600	43555	28916
601	43630	28845
602	43699	28770
603	43771	28697
604	43845	28626
605	43905	28545
606	43978	28473
607	44056	28405
608	44117	28324
609	44191	28253
610	44263	28181
611	44336	28108
612	44411	28037
613	44481	27963
614	44548	27888
615	44625	27818
616	44693	27742
617	44758	27666
618	44826	27591
619	44896	27517
620	44967	27443
621	45040	27372
622	45120	27303
623	45189	27229
624	45261	27156
625	45330	27082
626	45399	27007
627	45470	26934
628	45543	26862
629	45614	26789
630	45686	26716
631	45752	26640
632	45901	26612
633	45978	26542
634	46051	26470
635	46121	26396
636	46188	26321
637	46265	26250
638	46337	26177
639	46407	26104
640	46475	26029
641	46547	25956
642	46616	25881
643	46686	25808
644	46766	25739
645	46850	25673
646	46923	25601
647	46997	25529
648	47076	25460
649	47150	25388
650	47222	25315
651	47294	25242
652	47373	25173
653	47446	25101
654	47529	25034
655	47599	24960
656	47666	24885
657	47737	24811
658	47810	24739
659	47876	24663
660	47950	24592
661	48025	24520
662	48101	24449
663	48181	24380
664	48257	24310
665	48329	24237
666	48407	24167
667	48479	24094
668	48553	24022
669	48633	23953
670	48706	23881
671	48779	23809
672	48855	23737
673	48928	23665
674	49000	23592
675	49070	23518
676	49145	23447
677	49213	23372
678	49292	23303
679	49364	23230
680	49437	23157
681	49513	23087
682	49582	23012
683	49652	22938
684	49725	22866
685	49801	22795
686	49868	22720
687	49946	22650
688	50020	22578
689	50094	22506
690	50163	22431
691	50226	22355
692	50301	22283
693	50380	22213
694	50455	22142
695	50525	22068
696	50598	21996
697	50674	21925
698	50748	21853
699	50824	21782
700	50906	21713
701	50982	21642
702	51052	21568
703	51122	21494
704	51192	21420
705	51261	21346
706	51341	21277
707	51417	21206
708	51494	21135
709	51559	21059
710	51632	20986
711	51704	20914
712	51786	20845
713	51856	20771
714	51936	20701
715	52009	20629
716	52086	20558
717	52164	20488
718	52248	20419
719	52324	20348
720	52409	20280
721	52532	20227
722	52604	20153
723	52682	20083
724	52752	20009
725	52820	19934
726	52890	19861
727	52967	19790
728	53035	19715
729	53108	19642
730	53186	19572
731	53256	19498
732	53327	19424
733	53396	19350
734	53463	19276
735	53532	19201
736	53605	19129
737	53677	19056
738	53751	18983
739	53823	18910
740	53894	18837
741	53965	18764
742	54041	18692
743	54119	18621
744	54189	18548
745	54260	18474
746	54316	18396
747	54389	18323
748	54478	18256
749	54547	18182
750	54614	18107
751	54686	18034
752	54762	17963
753	54839	17891
754	54917	17820
755	54988	17747
756	55056	17673
757	55124	17599
758	55196	17526
759	55262	17451
760	55332	17377
761	55401	17303
762	55474	17231
763	55544	17157
764	55623	17087
765	55693	17013
766	55767	16941
767	55839	16868
768	55905	16793
769	55984	16722
770	56056	16649
771	56124	16575
772	56196	16502
773	56273	16431
774	56341	16357
775	56417	16285
776	56484	16211
777	56551	16136
778	56619	16062
779	56693	15990
780	56765	15917
781	56833	15843
782	56905	15770
783	56975	15697
784	57049	15625
785	57124	15552
786	57196	15480
787	57270	15407
788	57341	15334
789	57417	15262
790	57493	15191
791	57567	15118
792	57642	15046
793	57716	14974
794	57790	14902
795	57861	14828
796	57934	14756
797	58011	14684
798	58079	14610
799	58155	14538
800	58230	14466
801	58302	14393
802	58382	14323
803	58455	14250
804	58521	14176
805	58592	14102
806	58672	14031
807	58748	13960
808	58831	13889
809	58907	13817
810	58985	13746
811	59064	13675
812	59137	13602
813	59214	13530
814	59292	13459
815	59365	13386
816	59437	13313
817	59510	13240
818	59585	13168
819	59652	13094
820	59735	13023
821	59859	12962
822	59950	12893
823	60027	12821
824	60094	12747
825	60165	12674
826	60239	12601
827	60312	12528
828	60381	12454
829	60455	12382
830	60523	12308
831	60594	12235
832	60669	12163
833	60737	12089
834	60808	12016
835	60882	11943
836	60958	11871
837	61038	11799
838	61121	11728
839	61193	11655
840	61274	11584
841	61342	11510
842	61415	11437
843	61487	11364
844	61561	11292
845	61630	11218
846	61698	11145
847	61769	11071
848	61838	10998
849	61916	10926
850	61994	10854
851	62071	10782
852	62145	10709
853	62220	10637
854	62286	10563
855	62355	10489
856	62437	10418
857	62511	10345
858	62583	10272
859	62657	10200
860	62726	10126
861	62808	10055
862	62887	9983
863	62971	9912
864	63055	9841
865	63128	9768
866	63206	9696
867	63281	9623
868	63358	9551
869	63434	9478
870	63504	9405
871	63576	9332
872	63648	9259
873	63715	9185
874	63787	9112
875	63860	9039
876	63939	8967
877	64010	8894
